submission_id,target,dataset_path,dataset_name,dataset_split,num_of_examples,drafter,temperature,example_id,new_toks,ttft_ms,tpot_ms,out_toks_per_sec
2025-02-04_01-05-29_4c55336,deepseek-ai/DeepSeek-R1-Distill-Llama-70B,openai/openai_humaneval,openai_humaneval,test,30,No Drafter (Autoregressive),0,0,512,2016.2549018859863,129.01098480896476,7.751277935601897
2025-02-04_01-05-29_4c55336,deepseek-ai/DeepSeek-R1-Distill-Llama-70B,openai/openai_humaneval,openai_humaneval,test,30,No Drafter (Autoregressive),0,1,512,236.41395568847656,126.68119904579714,7.89383118830826
2025-02-04_01-05-29_4c55336,deepseek-ai/DeepSeek-R1-Distill-Llama-70B,openai/openai_humaneval,openai_humaneval,test,30,No Drafter (Autoregressive),0,2,512,215.317964553833,119.73386734665723,8.351855846305947
2025-02-04_01-05-29_4c55336,deepseek-ai/DeepSeek-R1-Distill-Llama-70B,openai/openai_humaneval,openai_humaneval,test,30,No Drafter (Autoregressive),0,3,512,306.7042827606201,123.7821728282712,8.078707758566711
2025-02-04_01-05-29_4c55336,deepseek-ai/DeepSeek-R1-Distill-Llama-70B,openai/openai_humaneval,openai_humaneval,test,30,No Drafter (Autoregressive),0,4,512,296.7038154602051,120.25472375977996,8.315681652536107
2025-02-04_01-05-29_4c55336,deepseek-ai/DeepSeek-R1-Distill-Llama-70B,openai/openai_humaneval,openai_humaneval,test,30,No Drafter (Autoregressive),0,5,512,225.8758544921875,118.33250079369591,8.450763681090685
2025-02-04_01-05-29_4c55336,deepseek-ai/DeepSeek-R1-Distill-Llama-70B,openai/openai_humaneval,openai_humaneval,test,30,No Drafter (Autoregressive),0,6,512,225.92997550964355,123.4115747089722,8.102967670238296
2025-02-04_01-05-29_4c55336,deepseek-ai/DeepSeek-R1-Distill-Llama-70B,openai/openai_humaneval,openai_humaneval,test,30,No Drafter (Autoregressive),0,7,512,235.2921962738037,127.7028856445432,7.830676612770265
2025-02-04_01-05-29_4c55336,deepseek-ai/DeepSeek-R1-Distill-Llama-70B,openai/openai_humaneval,openai_humaneval,test,30,No Drafter (Autoregressive),0,8,512,224.1833209991455,122.20183370631268,8.183183260598994
2025-02-04_01-05-29_4c55336,deepseek-ai/DeepSeek-R1-Distill-Llama-70B,openai/openai_humaneval,openai_humaneval,test,30,No Drafter (Autoregressive),0,9,512,225.5122661590576,122.3236091449536,8.175036748752229
2025-02-04_01-05-29_4c55336,deepseek-ai/DeepSeek-R1-Distill-Llama-70B,openai/openai_humaneval,openai_humaneval,test,30,No Drafter (Autoregressive),0,10,512,225.91757774353027,122.39301321324535,8.170401020013289
2025-02-04_01-05-29_4c55336,deepseek-ai/DeepSeek-R1-Distill-Llama-70B,openai/openai_humaneval,openai_humaneval,test,30,No Drafter (Autoregressive),0,11,512,205.35540580749512,122.16101980489294,8.185917255742709
2025-02-04_01-05-29_4c55336,deepseek-ai/DeepSeek-R1-Distill-Llama-70B,openai/openai_humaneval,openai_humaneval,test,30,No Drafter (Autoregressive),0,12,512,215.9357070922852,124.67070148415762,8.021130771667904
2025-02-04_01-05-29_4c55336,deepseek-ai/DeepSeek-R1-Distill-Llama-70B,openai/openai_humaneval,openai_humaneval,test,30,No Drafter (Autoregressive),0,13,512,205.5962085723877,121.0901377952262,8.258310860056048
2025-02-04_01-05-29_4c55336,deepseek-ai/DeepSeek-R1-Distill-Llama-70B,openai/openai_humaneval,openai_humaneval,test,30,No Drafter (Autoregressive),0,14,512,216.1085605621338,122.68518188461633,8.150943615509213
2025-02-04_01-05-29_4c55336,deepseek-ai/DeepSeek-R1-Distill-Llama-70B,openai/openai_humaneval,openai_humaneval,test,30,No Drafter (Autoregressive),0,15,512,215.1615619659424,120.6659878769966,8.287339436688415
